Date,Open*,High,Low,Close**,Volume,Market Cap
"Jan 31, 2015",0.26,0.27,0.25,0.25,"9,048.00","1,515,862.00"
"Jan 30, 2015",0.27,0.28,0.25,0.26,"19,332.00","1,556,380.00"
"Jan 29, 2015",0.26,0.28,0.25,0.27,"24,484.00","1,643,181.00"
"Jan 28, 2015",0.28,0.29,0.24,0.26,"14,156.00","1,526,508.00"
"Jan 27, 2015",0.28,0.29,0.26,0.28,"15,862.00","1,693,915.00"
"Jan 26, 2015",0.28,0.32,0.27,0.28,"26,157.00","1,687,813.00"
"Jan 25, 2015",0.27,0.30,0.26,0.28,"21,891.00","1,637,166.00"
"Jan 24, 2015",0.25,0.27,0.24,0.27,"14,393.00","1,570,022.00"
"Jan 23, 2015",0.24,0.26,0.23,0.25,"10,812.00","1,467,136.00"
"Jan 22, 2015",0.23,0.25,0.22,0.24,"13,471.00","1,380,480.00"
"Jan 21, 2015",0.21,0.23,0.20,0.23,"8,681.00","1,323,011.00"
"Jan 20, 2015",0.22,0.22,0.20,0.20,"6,964.00","1,187,501.00"
"Jan 19, 2015",0.22,0.23,0.20,0.22,"14,759.00","1,277,891.00"
"Jan 18, 2015",0.22,0.23,0.20,0.22,"10,254.00","1,295,581.00"
"Jan 17, 2015",0.24,0.25,0.20,0.21,"11,096.00","1,238,751.00"
"Jan 16, 2015",0.22,0.24,0.21,0.24,"12,449.00","1,378,526.00"
"Jan 15, 2015",0.19,0.24,0.19,0.23,"11,898.00","1,275,465.00"
"Jan 14, 2015",0.26,0.26,0.18,0.19,"17,703.00","1,086,714.00"
"Jan 13, 2015",0.31,0.31,0.25,0.26,"13,213.00","1,492,915.00"
"Jan 12, 2015",0.32,0.32,0.31,0.31,"10,143.00","1,746,696.00"
"Jan 11, 2015",0.35,0.35,0.31,0.32,"10,919.00","1,814,003.00"
"Jan 10, 2015",0.36,0.36,0.31,0.35,"19,599.00","2,001,737.00"
"Jan 09, 2015",0.36,0.37,0.35,0.36,"13,024.00","2,063,757.00"
"Jan 08, 2015",0.40,0.40,0.36,0.36,"15,409.00","2,038,238.00"
"Jan 07, 2015",0.39,0.40,0.38,0.39,"17,818.00","2,188,313.00"
"Jan 06, 2015",0.35,0.40,0.34,0.39,"29,108.00","2,159,826.00"
"Jan 05, 2015",0.34,0.37,0.33,0.35,"29,305.00","1,964,602.00"
"Jan 04, 2015",0.39,0.39,0.33,0.35,"24,534.00","1,930,512.00"
"Jan 03, 2015",0.38,0.41,0.38,0.38,"35,308.00","2,126,886.00"
"Jan 02, 2015",0.39,0.40,0.36,0.38,"28,863.00","2,089,336.00"
"Jan 01, 2015",0.36,0.39,0.35,0.39,"20,668.00","2,117,433.00"
"Dec 31, 2014",0.40,0.40,0.35,0.36,"30,922.00","1,959,723.00"
"Dec 30, 2014",0.40,0.44,0.37,0.40,"47,253.00","2,198,935.00"
"Dec 29, 2014",0.46,0.47,0.40,0.40,"59,469.00","2,183,452.00"
"Dec 28, 2014",0.42,0.50,0.40,0.46,"96,372.00","2,514,434.00"
"Dec 27, 2014",0.36,0.44,0.34,0.42,"80,563.00","2,269,195.00"
"Dec 26, 2014",0.37,0.38,0.35,0.36,"28,746.00","1,912,507.00"
"Dec 25, 2014",0.35,0.37,0.33,0.37,"44,247.00","1,994,945.00"
"Dec 24, 2014",0.31,0.38,0.31,0.35,"53,366.00","1,871,963.00"
"Dec 23, 2014",0.28,0.31,0.27,0.31,"20,489.00","1,665,167.00"
"Dec 22, 2014",0.28,0.30,0.27,0.28,"15,946.00","1,501,016.00"
"Dec 21, 2014",0.28,0.29,0.26,0.28,"19,982.00","1,491,351.00"
"Dec 20, 2014",0.26,0.28,0.26,0.28,"10,393.00","1,465,904.00"
"Dec 19, 2014",0.26,0.28,0.25,0.26,"13,424.00","1,371,351.00"
"Dec 18, 2014",0.27,0.29,0.25,0.26,"14,396.00","1,297,345.00"
"Dec 17, 2014",0.28,0.28,0.24,0.27,"26,696.00","1,368,329.00"
"Dec 16, 2014",0.31,0.32,0.27,0.27,"32,978.00","1,374,040.00"
"Dec 15, 2014",0.31,0.33,0.30,0.31,"19,255.00","1,554,216.00"
"Dec 14, 2014",0.30,0.33,0.30,0.31,"11,097.00","1,557,062.00"
"Dec 13, 2014",0.30,0.31,0.30,0.30,"13,987.00","1,526,429.00"
"Dec 12, 2014",0.32,0.32,0.30,0.30,"13,236.00","1,533,751.00"
"Dec 11, 2014",0.31,0.33,0.30,0.32,"18,405.00","1,615,427.00"
"Dec 10, 2014",0.32,0.34,0.30,0.31,"14,632.00","1,591,367.00"
"Dec 09, 2014",0.36,0.37,0.31,0.31,"23,459.00","1,600,592.00"
"Dec 08, 2014",0.38,0.40,0.36,0.36,"29,654.00","1,845,038.00"
"Dec 07, 2014",0.36,0.39,0.36,0.38,"17,817.00","1,935,238.00"
"Dec 06, 2014",0.35,0.37,0.34,0.36,"15,225.00","1,818,049.00"
"Dec 05, 2014",0.37,0.39,0.33,0.35,"37,027.00","1,736,945.00"
"Dec 04, 2014",0.41,0.42,0.37,0.37,"14,661.00","1,852,296.00"
